,Date,Country,Sectors,Title,Impact Category,Attack Type,Actor,Certainty,ActorNation
626,16-11-22,Poland,Transportation,Campaign: DDoS attack against the website of Warsaw's metro,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
627,16-11-22,Poland,Administrative / Support,Campaign: DDoS attack against the website of a Polish bus ticket retailer,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
628,16-11-22,Poland,Transportation,Campaign: DDoS attack against the website of a Polish taxi company,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
629,15-11-22,Poland,ICT,Campaign: DDoS attacks against the websites of 5 Polish data centers,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
630,15-11-22,Poland,Transportation,Campaign: DDoS attacks against the websites of four Polish airports,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
631,15-11-22,Ukraine,Public administration,DDoS attack against the website of a Ukrainian ministry,Disruption,DDoS,XakNet,Possible,Russian Federation
632,15-11-22,Poland,Administrative / Support,Campaign: DDoS attacks against the websites of 13 Polish police stations,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
633,14-11-22,United Kingdom,Media,DDoS attack against the website of a British magazine,Disruption,DDoS,NoName057(16),Possible,Russian Federation
634,14-11-22,Germany,Nonprofit,DDoS attack against the online resource of an international organization,Disruption,DDoS,NoName057(16),Possible,Russian Federation
635,14-11-22,Ukraine,Transportation,"Campaign: DDoS attacks against the website, investment portal, and ticket buying webpage, of the operator of Ukraine's railways",Disruption,DDoS,NoName057(16),Possible,Russian Federation
636,13-11-22,United States,Administrative / Support,DDoS attack against online resources of the domestic intelligence and security service of the United States,Disruption,DDoS,RADIS,Possible,Russian Federation
637,13-11-22,Ukraine,Trade,DDoS attack against the website of a Ukrainian online trading platform,Disruption,DDoS,NoName057(16),Possible,Russian Federation
638,13-11-22,Ukraine,Administrative / Support,DDoS attack against the website of a Ukrainian education platform for entrepreneurs,Disruption,DDoS,NoName057(16),Possible,Russian Federation
639,13-11-22,Ukraine,Public administration,DDoS attack against the website of Ukrainian tax authorities,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
640,13-11-22,Ukraine,Administrative / Support,DDoS attack against the website of a Ukrainian large-scale national project for entrepreneurship and export promotion,Disruption,DDoS,NoName057(16),Possible,Russian Federation
641,12-11-22,Poland,Public administration,DDoS attack against the website of the Polish governmental administration service center,Disruption,DDoS,NoName057(16),Possible,Russian Federation
642,12-11-22,Poland,Public administration,DDoS attack against the website of a Polish Provincial Road Transport Inspectorate,Disruption,DDoS,NoName057(16),Possible,Russian Federation
643,12-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
644,12-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
645,12-11-22,Bulgaria,Public administration,Campaign: DDoS attacks against the websites of three Bulgarian public administrations,Disruption,DDoS,Anonymous Russia,Probable,Russian Federation
646,12-11-22,Bulgaria,Transportation,Campaign: DDoS attacks against the websites of three Bulgarian companies in the transportation sector.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
647,12-11-22,Ukraine,Education,DDoS attack against the website of a Ukrainian university,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
648,11-11-22,Poland,Public administration,Campaign: DDoS attacks against the websites of three Polish district courts,Disruption,DDoS,NoName057(16),Possible,Russian Federation
649,11-11-22,Poland,Professional / scientific,DDoS attack against the website of the Polish Scientific Excellence Council,Disruption,DDoS,NoName057(16),Possible,Russian Federation
650,11-11-22,Greece,Other service,Campaign: DDoS attacks against the websites of three food delivery services,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
651,11-11-22,Greece,Media,DDoS attack against the website of a Greek TV channel,Disruption,DDoS,KillMilk,Possible,Russian Federation
652,11-11-22,Greece,Energy,"Campaign: DDoS attacks against the website, and online resources, of the state-controlled electric power company",Disruption,DDoS,RADIS,Possible,Russian Federation
653,10-11-22,Poland,Public administration,DDoS attack against the website of a Polish program portal,Disruption,DDoS,NoName057(16),Possible,Russian Federation
654,10-11-22,Ukraine,Unknown,Campaign: FRwL attacks Ukrainian organizations,Data,Malware,FRwL,Confirmed,Russian Federation
655,10-11-22,Greece,ICT,Campaign: DDoS attack against the website of a Greek mobile operator.,Disruption,DDoS,KillNet,Possible,Russian Federation
656,10-11-22,Greece,Public administration,Campaign: DDoS attacks against the websites and online resources of two Greek ministries,Disruption,DDoS,KillNet,Possible,Russian Federation
657,10-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
658,10-11-22,Poland,Public administration,DDoS attack against the website of the Polish national agency for energy saving,Disruption,DDoS,NoName057(16),Possible,Russian Federation
659,09-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
660,09-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
661,09-11-22,Poland,Public administration,DDoS attack against the website of a regional Polish tax administration,Disruption,DDoS,NoName057(16),Possible,Russian Federation
662,09-11-22,Poland,Administrative / Support,DDoS attack against the website of a Polish graduate tracking system,Disruption,DDoS,NoName057(16),Possible,Russian Federation
663,09-11-22,Poland,Administrative / Support,DDoS attack against the website of a Polish correctional facility,Disruption,DDoS,NoName057(16),Possible,Russian Federation
664,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish provincial veterinary inspectorate,Disruption,DDoS,NoName057(16),Possible,Russian Federation
665,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
666,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
667,08-11-22,Poland,Public administration,DDoS attack against an online resource of a Polish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
668,08-11-22,Poland,Health,DDoS attack against the website of the oldest public health institution in Poland,Disruption,DDoS,NoName057(16),Possible,Russian Federation
669,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
670,08-11-22,Poland,Administrative / Support,DDoS attack against the website of a Polish regional assay office.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
671,08-11-22,Ukraine,Unknown,Campaign: Phishing campaign reported by CERT-UA,Unknown,Phishing,UAC-0133,Confirmed,Russian Federation
672,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish agency for enterprise development,Disruption,DDoS,NoName057(16),Possible,Russian Federation
673,08-11-22,Poland,Administrative / Support,DDoS attack against the website of the first Polish digital archive,Disruption,DDoS,NoName057(16),Possible,Russian Federation
674,08-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
675,08-11-22,Ukraine,Financial,DDoS attack against the website of a Ukrainian online payment system.,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
676,07-11-22,United States,Public administration,DDoS attack against a US state's secretary,Disruption,DDoS,People's CyberArmy,Confirmed,Russian Federation
677,07-11-22,Poland,Public administration,DDoS attack against the website of a Polish district court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
678,07-11-22,Ukraine,Unknown,Campaign: Gamaredon conducts a phishing campaign,Data,Phishing,Gamaredon,Confirmed,Russian Federation
679,07-11-22,Russian Federation,ICT,Hack and leak operation against a Russian vertical video service.,Data,Hack And Leak,,Probable,No Nationality Found
680,06-11-22,Poland,Public administration,DDoS attack against the website of Poland's public e-procurement website,Disruption,DDoS,NoName057(16),Possible,Russian Federation
681,06-11-22,Moldova,Public administration,DDoS attack against the website of a Moldovan ministry,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
682,06-11-22,Poland,Public administration,DDoS attack against the Polish Platform for Electronic Tax and Customs Services,Disruption,DDoS,NoName057(16),Possible,Russian Federation
683,06-11-22,Poland,Public administration,Campaign: DDoS attacks against the websites of three Polish regional court,Disruption,DDoS,NoName057(16),Possible,Russian Federation
684,06-11-22,Ukraine,Media,DDoS attack against the website of a Ukrainian TV channel,Disruption,DDoS,XakNet,Possible,Russian Federation
685,06-11-22,Poland,Public administration,DDoS attack against a Polish regional administration,Disruption,DDoS,NoName057(16),Possible,Russian Federation
686,06-11-22,Poland,Public administration,DDoS attack against the website of a Polish agency,Disruption,DDoS,NoName057(16),Possible,Russian Federation
687,05-11-22,Poland,Administrative / Support,DDoS attack against the website of the national archive in a Polish city.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
688,05-11-22,Poland,Public administration,DDoS attack against the website of a Polish regional court.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
689,05-11-22,Poland,Administrative / Support,DDoS attack against the website of a Polish forum,Disruption,DDoS,NoName057(16),Possible,Russian Federation
690,05-11-22,Czech Republic,Administrative / Support,Campaign: DDoS attack against a Czech job search website.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
691,05-11-22,Czech Republic,Public administration,Campaign: DDoS attacks against the websites of eight Czech public administration organizations.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
692,05-11-22,Czech Republic,Financial,Campaign: DDoS attacks against the websites of six Czech banks.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
693,05-11-22,Poland,Education,DDoS attack against the website of a Polish national school,Disruption,DDoS,NoName057(16),Possible,Russian Federation
694,05-11-22,Czech Republic,Professional / scientific,Campaign: DDoS attacks against the websites of three Czech professional associations/unions.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
695,05-11-22,Ukraine,Energy,DDoS attack against a Ukrainian electricity supply company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
696,05-11-22,Poland,Public administration,Campaign: DDoS attacks against the websites of five Polish district courts,Disruption,DDoS,NoName057(16),Possible,Russian Federation
697,05-11-22,United Kingdom,Administrative / Support,DDoS attack against a website promoting London business growth and travel attractions,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
698,05-11-22,Russian Federation,Media,DDoS attack against a Russian media,Disruption,DDoS,KillNet,Possible,Russian Federation
699,04-11-22,Bulgaria,Administrative / Support,DDoS attack against the website of Bulgaria's foreign intelligence,Disruption,DDoS,KillNet,Probable,Russian Federation
700,04-11-22,Poland,Transportation,DDoS attack against the website of a Polish airport,Disruption,DDoS,NoName057(16),Possible,Russian Federation
701,04-11-22,Finland,Public administration,DDoS attack against the administrative website of an autonomous region of Finland,Disruption,DDoS,NoName057(16),Possible,Russian Federation
702,04-11-22,Poland,Energy,DDoS attack against a Polish state-owned power company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
703,03-11-22,Russian Federation,Financial,Hack and leak operation against a Russian bank,Data,Hack And Leak,IT Army of Ukraine,Possible,Ukraine
704,03-11-22,Poland,Manufacturing,DDoS attack against the website of a Polish manufacturer of heavy-tracked vehicles,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
705,03-11-22,United States,Transportation,Campaign: DDoS attacks against the websites of eight US airports,Disruption,DDoS,KillNet,Possible,Russian Federation
706,03-11-22,Russian Federation,Education,Hack and leak operation against a Russian online university,Data,Hack And Leak,IT Army of Ukraine,Possible,Ukraine
707,03-11-22,United States,Public administration,DDoS attack against the website of a US department,Disruption,DDoS,KillNet,Possible,Russian Federation
708,03-11-22,Latvia,Financial,Campaign: DDoS attacks against the websites of seven Latvian credit providers,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
709,03-11-22,Ukraine,Public administration,DDoS attack against the website of a Ukrainian state agency,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
710,03-11-22,Finland,Public administration,DDoS attack against a Finnish ministry,Disruption,DDoS,NoName057(16),Possible,Russian Federation
711,03-11-22,Finland,Public administration,"Campaign: DDoS attacks against the website and online resources of a Finnish state-owned enterprise, producing environmental services",Disruption,DDoS,NoName057(16),Possible,Russian Federation
712,03-11-22,United States,Public administration,DDoS attack against US cybersecurity agency,Disruption,DDoS,KillMilk,Possible,Russian Federation
713,02-11-22,Norway,Manufacturing,DDoS attack against a Norwegian defence supplier,Disruption,DDoS,NoName057(16),Possible,Russian Federation
714,02-11-22,France,ICT,DDoS attack against the website of a cross-platform voice over IP and messaging application,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
715,02-11-22,Latvia,ICT,Campaign: DDoS attacks against the websites of seven Latvian web hosting service providers.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
716,02-11-22,Ukraine,Public administration,DDoS attack against the website of a Ukrainian ministry,Disruption,DDoS,Phoenix,Possible,Ukraine
717,02-11-22,Latvia,Transportation,Campaign: DDoS attacks against the websites of six Latvian taxi companies.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
718,02-11-22,Ukraine,Public administration,DDoS attack against the website of a Ukrainian ministry,Disruption,DDoS,Phoenix,Possible,Ukraine
719,02-11-22,Ukraine,Financial,DDoS attack against the website of a Ukrainian bank,Disruption,DDoS,Phoenix,Possible,Ukraine
720,02-11-22,Ukraine,Other service,DDoS attack against the website of a Ukrainian political party,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
721,01-11-22,Moldova,Transportation,DDoS attack against the website of a Moldovan taxi company,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
722,01-11-22,Moldova,Transportation,DDoS attack against the website of a Moldovan airport,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
723,01-11-22,Poland,Transportation,Campaign: DDoS attacks against the websites of four public transport operators in Polish cities,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
724,01-11-22,Germany,ICT,DDoS attack against the website of a German web hosting provider,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
725,01-11-22,Latvia,Media,Campaign: DDoS attacks against the websites of eight Latvian news media.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
726,01-11-22,Poland,Media,DDoS attack against the website of a Polish TV channel,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
727,01-11-22,Ukraine,Media,Campaign: DDoS attacks against four Ukrainian news media,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
728,01-11-22,Ukraine,Trade,DDoS attacks against two Ukrainian shops,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
729,01-11-22,Ukraine,Transportation,Campaign: DDoS attacks against the websites of three Ukrainian cargo transportation companies,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
730,01-11-22,Ukraine,Professional / scientific,DDoS attack against a Ukrainian weather forecast website,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
731,01-11-22,Latvia,Other service,DDoS attack against a weather forecast website,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
732,01-11-22,Ukraine,ICT,DDoS attack against a Ukrainian online chat,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
733,01-11-22,Moldova,Public administration,Campaign: DDoS attacks against three Moldovan governmental websites,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
734,01-11-22,Ukraine,Administrative / Support,DDoS attack against a Ukrainian online taxi catalogue,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
735,01-11-22,Ukraine,Administrative / Support,DDoS attack against a Ukrainian job search website,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
736,01-11-22,Poland,Transportation,Campaign: DDoS attacks against the websites of three Polish taxi companies,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
737,31-10-22,Moldova,Public administration,DDoS attack against the website of a Moldovan ministry,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
738,31-10-22,United States,Financial,Attempted DDoS attack against the website of the U.S. department managing federal finances,Disruption,DDoS,KillNet,Probable,Russian Federation
739,31-10-22,Lithuania,Transportation,DDoS attack against a Lithuanian logistics company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
740,31-10-22,Poland,Transportation,DDoS attack against the website of a Polish airport,Disruption,DDoS,NoName057(16),Possible,Russian Federation
741,31-10-22,Ukraine,Administrative / Support,Campaign: Gamaredon targeting Ukrainian organizations through Telegram,Data,Malware,Gamaredon,Probable,Russian Federation
742,31-10-22,Ukraine,Media,Campaign: DDoS attacks against the websites of four Ukrainian news media,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
743,31-10-22,Ukraine,Financial,Campaign: DDoS attacks against the websites of four Ukrainian banks,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
744,31-10-22,Ukraine,Trade,Campaign: DDoS attacks against the websites of two Ukrainian online car marketplaces,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
745,31-10-22,Ukraine,Trade,Campaign: DDoS attacks against the websites of four Ukrainian online retailers,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
746,31-10-22,Ukraine,ICT,DDoS attack against the website of a Ukrainian mobile operator,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
747,31-10-22,Lithuania,Financial,DDoS attack against a Lithuanian bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
748,30-10-22,Ukraine,Education,DDoS attack against the website of a Ukrainian online educational resource,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
749,30-10-22,Russian Federation,Energy,Hack and leak operation against a Russian energy company,Data,Hack And Leak,KelvinSecurity,Possible,Other
750,29-10-22,Ukraine,Health,DDoS attack against the website of a Kyiv hospital,Disruption,DDoS,Clowns,Possible,Russian Federation
751,29-10-22,Ukraine,Health,DDoS attack against the website of a Kyiv hospital,Disruption,DDoS,Phoenix,Possible,Ukraine
752,29-10-22,Ukraine,Unknown,Ukrainian organization affected by 'Azov Ransomware' (data wiper).,Destruction,Wiper,,Probable,No Nationality Found
753,29-10-22,Ukraine,Health,DDoS attack against the website of a Kyiv hopsital,Disruption,DDoS,Phoenix,Possible,Ukraine
754,28-10-22,United Kingdom,Public administration,Alleged cyberespionage against Great Britain's former Prime Minister,Data,Cyberespionage,,Possible,No Nationality Found
755,28-10-22,Poland,Public administration,DDoS attack against the website of the Polish Office of Competition and Consumer Protection,Disruption,DDoS,NoName057(16),Possible,Russian Federation
756,28-10-22,Ukraine,Public administration,DDoS attack against the official website of a Ukrainian provincial council,Disruption,DDoS,XakNet,Possible,Russian Federation
757,28-10-22,Poland,Energy,DDoS attack against the website of a Polish company providing natural gas transport services,Disruption,DDoS,NoName057(16),Possible,Russian Federation
758,28-10-22,Poland,Transportation,DDoS attack against the website of a Polish airport,Disruption,DDoS,NoName057(16),Possible,Russian Federation
759,26-10-22,Slovakia,Public administration,Cyberattack against the IT systems of Slovakia's parliament,Disruption,Unknown,,Probable,No Nationality Found
760,26-10-22,Poland,Public administration,DDoS attack against the website of Poland's Senate,Disruption,DDoS,People's CyberArmy,Probable,Russian Federation
761,24-10-22,Poland,Energy,DDoS attack against the website of a state-owned power company in Poland,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
762,24-10-22,Croatia,Public administration,DDoS attack against the website of the national library of Croatia,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
763,24-10-22,Russian Federation,Unknown,Cyberespionage campaign against major Russian companies,Data,Cyberespionage,,Probable,No Nationality Found
764,23-10-22,Kazakhstan,Public administration,DDoS attack against the website of the Kazakhstan government,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
765,23-10-22,Poland,Financial,DDoS attack against the website of Warsaw's stock exchange,Disruption,DDoS,KillNet,Possible,Russian Federation
766,23-10-22,Ukraine,Transportation,Campaign: DDoS attacks against the websites of six Ukrainian taxi companies.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
767,23-10-22,Kazakhstan,Public administration,DDoS attack against the website of the President of Kazakhstan,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
768,22-10-22,Lithuania,Public administration,DDoS attack against the website of a Lithuanian bank,Disruption,DDoS,NoName057(16),Possible,Russian Federation
769,22-10-22,Israel,Public administration,DDoS attack against the website of the parliament of Israel,Disruption,DDoS,XakNet,Possible,Russian Federation
770,22-10-22,Ukraine,Media,DDoS attack against a Ukrainian news media,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
771,21-10-22,Lithuania,Financial,DDoS attack against the website of a Lithuanian company providing business loans,Disruption,DDoS,NoName057(16),Possible,Russian Federation
772,21-10-22,Lithuania,Transportation,DDoS attack against the website of a Lithuanian logistics company.,Disruption,DDoS,NoName057(16),Possible,Russian Federation
773,20-10-22,Ukraine,Public administration,Campaign: Cyberattacks on Ukrainian state organizations,Unknown,Malware,UAC-0132,Confirmed,Russian Federation
774,19-10-22,Moldova,Public administration,DDoS attack against the website of Moldova's e-government,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
775,19-10-22,France,ICT,DDoS attack against the website of a cross-platform voice over IP and messaging application,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
776,19-10-22,Moldova,Public administration,DDoS attack against the website of Moldova's government,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
777,19-10-22,Ukraine,Energy,DDoS attack against the website of an electricity transmission system operator in Ukraine.,Disruption,DDoS,XakNet,Possible,Russian Federation
778,19-10-22,Ukraine,ICT,DDoS attack against the website of the online portal of a Ukrainian billing system for energy consumption,Disruption,DDoS,XakNet,Possible,Russian Federation
779,18-10-22,Russian Federation,Public administration,Cyberattack against Russia's Federal Tax authorities,Disruption,Unknown,IT Army of Ukraine,Possible,Ukraine
780,18-10-22,United Kingdom,Public administration,DDoS attack against the website of the principal public agency for conducting criminal prosecutions in England and Wales,Disruption,DDoS,XakNet,Possible,Russian Federation
781,18-10-22,Ukraine,Public administration,DDoS attack against the website of a Ukrainian ministry,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
782,18-10-22,Ukraine,ICT,DDoS attack against an informational Ukrainian website.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
783,17-10-22,Russian Federation,ICT,Alleged cyberattack against several major Russian technology firms that provide services critical to the Russian Government’s national security systems.,Data,Unknown,,Possible,No Nationality Found
784,17-10-22,Bulgaria,Media,DDoS attack against a Bulgarian radio,Disruption,DDoS,,Confirmed,No Nationality Found
785,15-10-22,Estonia,Transportation,DDoS attack against the website of Estonian railways,Disruption,DDoS,NoName057(16),Possible,Russian Federation
786,15-10-22,Ukraine,Energy,DDoS attack against a Ukrainian electricity supply company,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
787,14-10-22,Bulgaria,Financial,Campaign: DDoS attack against the websites of two Bulgarian banks.,Disruption,DDoS,KillNet,Confirmed,Russian Federation
788,14-10-22,Bulgaria,Media,Campaign: DDoS attacks against the websites of four Bulgarian medias.,Disruption,DDoS,KillNet,Confirmed,Russian Federation
789,14-10-22,Bulgaria,Transportation,Campaign: DDoS attacks against the websites of four Bulgarian airports,Disruption,DDoS,KillNet,Confirmed,Russian Federation
790,14-10-22,Bulgaria,Administrative / Support,Campaign: DDoS attack against the website of a Bulgarian think-tank.,Disruption,DDoS,KillNet,Confirmed,Russian Federation
791,14-10-22,Bulgaria,ICT,Campaign: DDoS attack against the website of a Bulgarian telecommunication company.,Disruption,DDoS,KillNet,Confirmed,Russian Federation
792,14-10-22,Bulgaria,Public administration,Campaign: DDoS attacks against the websites of 12 Bulgarian institutions,Disruption,DDoS,KillNet,Confirmed,Russian Federation
793,14-10-22,Moldova,Public administration,Campaign: DDoS attacks against the websites of Moldovan institutions,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
794,11-10-22,Canada,Transportation,DDoS attack against the website of a Canadian airport,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
795,11-10-22,United States,Media,DDoS attack against an online forum,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
796,11-10-22,Canada,Transportation,DDoS attack against the website of a Canadian airport,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
797,10-10-22,Russian Federation,Energy,Cyberattack against a company servicing the power grids of St Petersburg and Leningrad,Disruption,Unknown,IT Army of Ukraine,Probable,Ukraine
798,10-10-22,Poland,Transportation,"Campaign: ""Prestige ransomware"" targeting Polish transportation and logistics organizations",Data,Ransomware,Sandworm,Probable,Russian Federation
799,10-10-22,Canada,Transportation,DDoS attack against the website of a Canadian airport,Disruption,DDoS,Russian Hackers Team,Possible,Russian Federation
800,10-10-22,United States,Financial,DDoS attack against a US bank,Disruption,DDoS,KillNet,Possible,Russian Federation
801,10-10-22,Ukraine,Transportation,"Campaign: ""Prestige ransomware"" targeting Ukrainian transportation and logistics organizations",Data,Ransomware,Sandworm,Probable,Russian Federation
802,09-10-22,Russian Federation,Financial,DDoS attack against a Russian bank,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
803,09-10-22,United States,Transportation,Campaign: DDoS attacks against the websites of US airports,Disruption,DDoS,KillNet,Probable,Russian Federation
804,09-10-22,Ukraine,Financial,DDoS attack against a Ukrainian bank,Disruption,DDoS,,Confirmed,No Nationality Found
805,08-10-22,Estonia,Transportation,DDoS attack against the website of Estonian railways,Disruption,DDoS,NoName057(16),Possible,Russian Federation
806,08-10-22,Latvia,Health,DDoS attack against the website of Latvian electronic healthcare,Disruption,DDoS,NoName057(16),Possible,Russian Federation
807,07-10-22,Lithuania,Transportation,DDoS attack against the website of a Lithuanian international airport,Disruption,DDoS,NoName057(16),Possible,Russian Federation
808,07-10-22,Estonia,Media,Campaign: DDoS attacks against an Estonian news media,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
809,07-10-22,Estonia,Transportation,Campaign: DDoS attacks against two Estonian public transport ticket retailers.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
810,07-10-22,Ukraine,Transportation,Cyberattack against a regional section of Ukrainian railways,Disruption,Unknown,AlTahrea,Possible,Iraq
811,07-10-22,Estonia,Financial,Campaign: DDoS attacks against four Estonian banks,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
812,07-10-22,Lithuania,Energy,DDoS attack against the website of a Lithuanian state-owned energy company,Disruption,DDoS,NoName057(16),Possible,Russian Federation
813,07-10-22,Estonia,Transportation,Campaign: DDoS attacks against eight Estonian taxi services,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
814,07-10-22,Ukraine,Financial,DDoS attack against a Ukrainian payment service,Disruption,DDoS,Phoenix,Possible,Ukraine
815,07-10-22,Lithuania,Energy,DDoS attack against the website of the operator of the largest Lithuanian power plant,Disruption,DDoS,NoName057(16),Possible,Russian Federation
816,06-10-22,Russian Federation,Financial,A Russian bank repelled a DDoS attack on its infrastructure,Unknown,DDoS,,Confirmed,No Nationality Found
817,05-10-22,Russian Federation,ICT,DDoS attack against a Russian local search company,Disruption,DDoS,IT Army of Ukraine,Confirmed,Ukraine
818,05-10-22,Russian Federation,Public administration,DDoS attack against an official website of Dagestan,Disruption,DDoS,Phoenix,Possible,Ukraine
819,04-10-22,United States,Public administration,Campaign: DDoS attacks against official websites of states in the USA,Disruption,DDoS,KillNet,Confirmed,Russian Federation
820,04-10-22,Ukraine,Public administration,DDoS attack against the website of a regional administration,Disruption,DDoS,People's CyberArmy,Possible,Russian Federation
821,03-10-22,Russian Federation,Trade,Campaign: DDoS attacks against Russian online drone stores,Disruption,DDoS,IT Army of Ukraine,Probable,Ukraine
822,03-10-22,Romania,Administrative / Support,DDoS attack against the official website of the government of Romania,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
823,03-10-22,Switzerland,Professional / scientific,DDoS attack against European nuclear research organization,Disruption,DDoS,KillMilk,Possible,Russian Federation
824,02-10-22,Czech Republic,Manufacturing,Campaign: DDoS attacks against the websites of three Czech manufacturers,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
825,02-10-22,Czech Republic,Financial,Campaign: DDoS attacks against the websites of five Czech banks,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
826,02-10-22,Czech Republic,Trade,Campaign: DDoS attacks against the websites of two Czech online retailers.,Disruption,DDoS,Anonymous Russia,Possible,Russian Federation
